objet ,Room ,number,Link ,object category,decoration,,,,,,decorative,lien ,Piéce
bra ,wardrob,4,2,cloth ,,,,,,,,,
bra ,wardrob,1,7,cloth,,,,,,,,,
colour catcher,storage ,1,6,cleaning supply ,,,,,,,,,
magnet mini poster,desk,7,3,decoration,x,,,,,,,,
persil capsule ,storage ,1,6,cleaning supply ,,,,,,,,,
poster tin ,storage ,1,6,storage ,,,,,,,,,
lamp bulb ,storage ,1,6,other ,,,,,,,,,
plastic bag of plastic bag,storage ,1,6,storage,,,,,,,,,
apron ,storage ,1,4,kitchen supply ,,,,,,,,,
towel ,storage ,5,6,cleaning supply ,,,,,,,,,
zip bag,storage ,1,6,other ,,,,,,,,,
toilet cleaner ,storage ,1,6,cleaning supply ,,,,,,,,,
sponge,storage ,5,6,cleaning supply ,,,,,,,,,
bag ,storage ,6,4,accessory  ,,,,,,,,,
tube of paper ,storage ,2,7,art furniture,,,,,,,,,
cutlery,storage ,30,6,kitchen supply ,,,,,,,,,
plates,storage ,3,4,kitchen supply ,,,,,,,,,
glass,storage ,3,4,kitchen supply ,,,,,,,,,
big mug ,storage ,1,4,kitchen supply ,,,,,,,,,
casserol,storage ,1,7,kitchen supply ,,,,,,,,,
suitcase,storage ,2,2,storage,,,,,,,,,
art piece,storage ,3,5,paper stuff,,,,,,,,,
wrapping paper ,storage ,3,4,paper stuff,,,,,,,,,
picture frame,Bedroom ,2,3,sentimental ,x,,,,,,,,
surface cleaner,bedroom ,1,6,cleaning supply ,,,,,,,,,
figurine,Bedroom ,10,3,decoration,x,,,,,,,,
drying rack ,Bedroom ,1,2,cleaning supply ,,,,,,,,,
plastic star ,Bedroom ,5,3,decoration ,x,,,,,,,,
paper ghost ,Bedroom ,1,3,decoration ,x,,,,,,,,
bag ,Bedroom ,2,2,accessory  ,,,,,,,,,
bag ,Bedroom ,4,7,accessory  ,,,,,,,,,
pillow ,Bedroom ,4,2,furniture,,,,,,,,,
quilt ,Bedroom ,1,2,furniture,,,,,,,,,
octopus,Bedroom ,1,3,decoration,x,,,,,,,,
sawing machine,bedroom ,1,3,electronic,,,,,,,,,
lamp,Bedroom ,1,2,lamp ,,,,,,,,,
unicorn lamp,Bedroom ,1,3,lamp ,x,,,,,,,,
